Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
1.64448E+18,https://twitter.com/maryam_ansari02/status/1644481410592538624,"Stay hydrated, folks! Your body will thank you. 💦 #hydration #healthylifestyle",2023-04-07 23:24 +0000,3,1,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.64442E+18,https://twitter.com/maryam_ansari02/status/1644416234350604288,Just realized that the most expensive part of being a traveler is actually coming back home and realizing how broke you are! 😂💸 #TravelHumor #BrokeButHappy,2023-04-07 19:05 +0000,6,1,0.166666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644413957430718465,"Street food is not just food, it's an experience! The tantalizing aromas, flavors, and textures are a feast for the senses. From savory chaat to crispy samosas, street food is simply delicious. Don't miss out on this culinary adventure! 🍴👌 #StreetFood #Deliciousness https://t.co/4T3EjLWAdx",2023-04-07 18:56 +0000,15,10,0.666666667,2,1,5,0,0,0,0,0,0,0,0,0,0,2,2
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644413140489371649,"Just returned from an incredible tour of Delhi! From the colorful bazaars to the stunning historic landmarks, there's something for everyone in this vibrant city. Can't wait to go back and explore more! #DelhiTour #IncredibleIndia 🇮🇳 https://t.co/eeEOMykdl7",2023-04-07 18:53 +0000,19,9,0.473684211,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644410077334638592,"Take a stroll down the bustling Mall Road in Shimla, India and experience the charm of colonial-era architecture, local cuisine, and shopping. With its scenic views, vibrant atmosphere, and historic landmarks, Mall Road is a must-visit for anyone exploring the Queen of Hills! https://t.co/XAyGiipdXJ",2023-04-07 18:41 +0000,15,9,0.6,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644408669482946561,"Transform your outdoor space into a lush green paradise with home gardening! From fresh herbs to vibrant flowers, home gardening is a great way to connect with nature, de-stress, and enjoy the fruits of your labor. Give it a try and watch your garden bloom! 🌻🌿 #gardening https://t.co/23gKH029LF",2023-04-07 18:35 +0000,18,8,0.444444444,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644406859481350144,"Mesmerizing hues of orange, pink and purple painted across the sky as the sun melts into the horizon over the vast sea. There's nothing quite like a stunning sunset by the sea to soothe the soul and ignite the senses. 🌅🌊 #sunset #sea #nature https://t.co/RoiJpzduT3",2023-04-07 18:28 +0000,368,8,0.02173913,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1.64441E+18,https://twitter.com/maryam_ansari02/status/1644406343573577728,"Experience the beauty of Himalayan architecture at the Hadimba Devi Temple in Manali, India. With its intricately carved wooden doorway and multi-tiered roofs this ancient temple is a stunning example of architectural grandeur and cultural heritage. #Manali #India #architecture https://t.co/HOI6dmn4qB",2023-04-07 18:26 +0000,19,8,0.421052632,2,1,4,0,0,0,0,0,0,0,0,0,0,1,1
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644404399350099969,"Discover the beauty of Kufri, a quaint hill station nestled in the foothills of the Himalayas in India. With its picturesque landscapes, adventure activities, and serene atmosphere, Kufri is the perfect escape for nature lovers and adventure enthusiasts alike! 🏔️🌲 #Kufri #India https://t.co/GYwDpOrVT1",2023-04-07 18:18 +0000,12,6,0.5,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644404215538941952,"Did you know that a fire is a natural phenomenon that releases heat and light through the chemical reaction of combustion, while a bonfire is a large outdoor fire often used for celebrations or as a focal point for social gatherings? Stay safe and enjoy responsibly! 🔥🔥 #fire https://t.co/y3IZcZb5ii",2023-04-07 18:18 +0000,15,8,0.533333333,1,1,3,0,0,0,2,0,0,0,0,0,0,1,1
